title,link,content,content_source
"Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,"Title: Partial reductions in mechanical loading yield proportional changes in bone density, bone architecture, and muscle mass",title_only
Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,Title: Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle,title_only
Spaceflight Activates Lipotoxic Pathways in Mouse Liver,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,Title: Spaceflight Activates Lipotoxic Pathways in Mouse Liver,title_only
Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,Title: Treatment with a soluble bone morphogenetic protein type 1A receptor (BMPR1A) fusion protein increases bone mass and bone formation in mice subjected to hindlimb unloading.,title_only
RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,Title: RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice,title_only
Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,Title: Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation,title_only
Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,Title: Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth,title_only
"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,"Title: Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau",title_only
"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,"Title: Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1g on the Structure and Function of the Utricle in Toadfish, Opsanus tau.",title_only
Organization of the ER-Golgi interface for membrane traffic control.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,Title: Organization of the ER-Golgi interface for membrane traffic control.,title_only
IRE1: ER stress sensor and cell fate executor.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,Title: IRE1: ER stress sensor and cell fate executor.,title_only
Inter-regulation of the unfolded protein response and auxin signaling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,Title: Inter-regulation of the unfolded protein response and auxin signaling.,title_only
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,Title: Endoplasmic reticulum-shape and function in stress translation,title_only
Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,Title: Galactose-depleted xycoglucan is dysfunctional and leads to dwarfism in Arabidopsis,title_only
"Unfolded protein response in plants: one master, many questions.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,"Title: Unfolded protein response in plants: one master, many questions.",title_only
Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,Title: Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes?,title_only
Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,Title: Pectin methylesterification impacts the relationship between photosynthesis and plant growth.,title_only
Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,Title: Reduced Chloroplast Coverage genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment,title_only
Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,Title: Maintaining the factory: The roles of the unfolded protein response in cellular homeostasis in plants.,title_only
NADPH oxidase activity is required for ER stress survival in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,Title: NADPH oxidase activity is required for ER stress survival in plants.,title_only
Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,Title: Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis,title_only
Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,Title: Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement,title_only
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,"Title: High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",title_only
Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,Title: Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana,title_only
Acceleration profiles and processing methods for parabolic flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,Title: Acceleration profiles and processing methods for parabolic flight.,title_only
Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,Title: Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight.,title_only
Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,Title: Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target,title_only
Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,Title: Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment,title_only
Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,Title: Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties,title_only
Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9832585/,Title: Inter-agency perspective: Translating advances in biomarker discovery and medical countermeasures development between terrestrial and space radiation environments,title_only
Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7829349/,Title: Genomic and functional characterization of Enterococcus faecalis isolates recovered from the International Space Station and their potential for pathogenicity,title_only
Evaluation of in vitro macrophage differentiation during space flight.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3570223/,Title: Evaluation of in vitro macrophage differentiation during space flight.,title_only
Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457586/,Title: Identification of critical host mitochondrion-associated genes during Ehrlichia chaffeensis infections,title_only
Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3558598/,Title: Ehrlichia chaffeensis replication sites in adult Drosophila melanogaster.,title_only
Development and characterization of two porcine monocyte-derived macrophage cell lines.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11046949/,Title: Development and characterization of two porcine monocyte-derived macrophage cell lines.,title_only
Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890248/,Title: Understanding macrophage differentiation during space flight: The importance of ground-based experiments before space flight,title_only
Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3868799/,Title: Bone marrow leptin signaling mediates obesity-associated adipose tissue inflammation in male mice.,title_only
Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4960141/,Title: Establishment and characterization of DB-1: a leptin receptor-deficient murine macrophage cell line,title_only
Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5736159/,Title: Validation of methods to assess the immunoglobulin gene repertoire in tissues obtained from mice on the International Space Station.,title_only
Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761896/,Title: Characterization of the naive murine antibody repertoire using unamplified high-throughput sequencing,title_only
Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826609/,Title: Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,title_only
A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6366624/,Title: A comparison of unamplified and massively multiplexed PCR amplification for murine antibody repertoire sequencing.,title_only
Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,Title: Effects of skeletal unloading on the antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,title_only
Effects of skeletal unloading on the bone marrow antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11929063/,Title: Effects of skeletal unloading on the bone marrow antibody repertoire of tetanus toxoid and/or CpG treated C57BL/6J mice.,title_only
An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10996920/,Title: An Analysis of the Effects of Spaceflight and Vaccination on Antibody Repertoire Diversity,title_only
Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7954810/,Title: Effects of spaceflight aboard the International Space Station on mouse estrous cycle and ovarian gene expression,title_only
Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4228280/,Title: Effect of spaceflight on Pseudomonas aeruginosa final cell density is modulated by nutrient and oxygen availability.,title_only
Spaceflight promotes biofilm formation by Pseudomonas aeruginosa.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3639165/,Title: Spaceflight promotes biofilm formation by Pseudomonas aeruginosa.,title_only
GeneLab: Omics database for spaceflight experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,Title: GeneLab: Omics database for spaceflight experiments,title_only
NASA GeneLab: Interfaces for the exploration of space omics data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7778922/,Title: NASA GeneLab: Interfaces for the exploration of space omics data,title_only
Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7870178/,Title: Comprehensive multi-omics analysis reveals mitochondrial stress as a central biological hub for spaceflight impact,title_only
A New Era for Space Life Science: International Standards for Space Omics Processing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7733874/,Title: A New Era for Space Life Science: International Standards for Space Omics Processing,title_only
Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7828077/,Title: Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases,title_only
NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8044432/,Title: NASA GeneLab RNA-Seq Consensus Pipeline: Standardized Processing of Short-Read RNA-Seq Data,title_only
Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166911/,Title: Spatially resolved multiomics on the neuronal effects induced by spaceflight in mice,title_only
Biological horizons: pioneering open science in the cosmos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167097/,Title: Biological horizons: pioneering open science in the cosmos,title_only
Inspiration4 data access through the NASA Open Science Data Repository,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11094041/,Title: Inspiration4 data access through the NASA Open Science Data Repository,title_only
NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11053165/,Title: NASA GeneLab derived microarray studies of Mus musculus and Homo sapiens organisms in altered gravitational conditions.,title_only
Celebrating 30 years of access to NASA space life sciences data,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11403809/,Title: Celebrating 30 years of access to NASA space life sciences data,title_only
Dichotomous effects on lymphatic transport with loss of caveolae in mice.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8513672/,Title: Dichotomous effects on lymphatic transport with loss of caveolae in mice.,title_only
Fungal diversity differences in the indoor dust microbiome from built environments on Earth and in space.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11126634/,Title: Fungal diversity differences in the indoor dust microbiome from built environments on Earth and in space.,title_only
Predicting how varying moisture conditions impact the microbiome of dust collected from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11386075/,Title: Predicting how varying moisture conditions impact the microbiome of dust collected from the International Space Station,title_only
Aging and estrogen status: A possible endothelium-dependent vascular coupling mechanism in bone remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3502426/,Title: Aging and estrogen status: A possible endothelium-dependent vascular coupling mechanism in bone remodeling.,title_only
Chronic skeletal unloading of the rat femur: mechanisms and functional consequences of vascular remodeling.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3856860/,Title: Chronic skeletal unloading of the rat femur: mechanisms and functional consequences of vascular remodeling.,title_only
